"tenant_id","driver_id","online_time","offline_time","working_time","dt","week_of_year","car_id","pm","pt"
1,2124116999,2019-08-09 00:31:15,2019-08-09 01:25:00,86399,"20190809",32,62360725,"201908","20190809"
1,2315115586,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,76278205,"201908","20190809"
800008,2322919119,2019-08-09 10:19:35,2019-08-09 11:45:01,86399,"20190809",32,98295614,"201908","20190809"
800007,2325616553,2019-08-09 15:02:30,2019-08-09 17:30:01,86399,"20190809",32,97621356,"201908","20190809"
800007,2327319119,2019-08-09 10:18:10,2019-08-09 18:25:00,86399,"20190809",32,97798695,"201908","20190809"
1,2687612429,2019-08-09 09:38:32,2019-08-09 12:10:00,86399,"20190809",32,123715015,"201908","20190809"
1,3024415203,2019-08-09 14:22:21,2019-08-09 15:14:01,2566,"20190809",32,148438910,"201908","20190809"
800085,3032019823,2019-08-09 19:47:01,2019-08-09 22:50:00,7547,"20190809",32,148984126,"201908","20190809"
800085,3033311757,2019-08-09 21:06:44,2019-08-09 21:11:09,359,"20190809",32,149169696,"201908","20190809"
1,2106017991,2019-08-09 16:39:34,2019-08-09 20:27:21,86399,"20190809",32,60785254,"201908","20190809"
1,2119015128,2019-08-09 10:27:24,2019-08-09 10:51:19,1497,"20190809",32,62324916,"201908","20190809"
1,2307411502,2019-08-09 17:53:49,2019-08-09 23:25:00,19973,"20190809",32,123219102,"201908","20190809"
1,2347212423,2019-08-09 17:02:28,2019-08-09 21:00:39,86397,"20190809",32,99538733,"201908","20190809"
1,2365910581,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,101107506,"201908","20190809"
1,2676512506,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,122311161,"201908","20190809"
1,2679516715,2019-08-09 00:00:00,2019-08-09 12:13:14,44038,"20190809",32,122524059,"201908","20190809"
1,2686213575,2019-08-09 17:48:22,2019-08-09 18:30:00,2576,"20190809",32,147884090,"201908","20190809"
1,2690913682,2019-08-09 11:43:14,2019-08-09 18:50:32,86393,"20190809",32,124009657,"201908","20190809"
1,2276414896,2019-08-09 11:23:03,2019-08-09 20:45:43,33948,"20190809",32,72598969,"201908","20190809"
1,2309518484,2019-08-09 20:28:06,2019-08-09 20:58:28,533,"20190809",32,75929648,"201908","20190809"
1,2312016183,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,60137170,"201908","20190809"
1,2324717307,2019-08-09 00:00:00,2019-08-09 14:55:01,19253,"20190809",32,97512605,"201908","20190809"
800007,2325719496,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,97631615,"201908","20190809"
800007,2326218518,2019-08-09 17:38:21,2019-08-09 19:28:33,86399,"20190809",32,97686178,"201908","20190809"
1,2362516410,2019-08-09 11:10:52,2019-08-09 22:42:10,86395,"20190809",32,100656438,"201908","20190809"
1,2671519962,2019-08-09 00:18:59,2019-08-09 01:10:00,3169,"20190809",32,121778590,"201908","20190809"
1,2684418594,2019-08-09 15:14:21,2019-08-09 21:05:15,15385,"20190809",32,75725434,"201908","20190809"
1,2686015412,2019-08-09 02:41:15,2019-08-09 05:25:00,9778,"20190809",32,124163781,"201908","20190809"
1,2687510517,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,123702018,"201908","20190809"
1,3027018991,2019-08-09 04:47:29,2019-08-09 04:55:02,477,"20190809",32,148655520,"201908","20190809"
800085,3031010020,2019-08-09 19:46:34,2019-08-09 20:20:15,118,"20190809",32,148921666,"201908","20190809"
800085,3032410833,2019-08-09 19:36:39,2019-08-09 19:53:30,1018,"20190809",32,149024302,"201908","20190809"
1,2106114152,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,60796275,"201908","20190809"
1,2120111049,2019-08-09 11:09:35,2019-08-09 11:48:04,36298,"20190809",32,61840909,"201908","20190809"
1,2125118657,2019-08-09 17:47:31,2019-08-09 18:50:00,3838,"20190809",32,72536763,"201908","20190809"
1,2300116143,2019-08-09 14:49:25,2019-08-09 17:24:07,2938,"20190809",32,75008813,"201908","20190809"
800008,2321216553,2019-08-09 10:34:33,2019-08-09 16:50:00,86399,"20190809",32,98190481,"201908","20190809"
800007,2326311267,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,97690164,"201908","20190809"
1,2363312891,2019-08-09 18:19:09,2019-08-09 19:25:00,4017,"20190809",32,100800128,"201908","20190809"
800028,2683812519,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,123499310,"201908","20190809"
800007,2685312129,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,123595563,"201908","20190809"
1,2689613379,2019-08-09 00:00:00,2019-08-09 20:51:11,69533,"20190809",32,123932614,"201908","20190809"
1,2690817585,2019-08-09 00:00:00,2019-08-09 18:59:33,21763,"20190809",32,123993339,"201908","20190809"
1,3031210996,2019-08-09 18:24:22,2019-08-09 19:14:13,1132,"20190809",32,148972804,"201908","20190809"
1,2104514758,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,60598401,"201908","20190809"
1,2104916928,2019-08-09 14:46:32,2019-08-09 19:32:22,3044,"20190809",32,60772591,"201908","20190809"
1,2106212966,2019-08-09 00:00:00,2019-08-09 15:38:48,86399,"20190809",32,146956428,"201908","20190809"
1,2114712561,2019-08-09 15:21:46,2019-08-09 15:32:50,658,"20190809",32,121587620,"201908","20190809"
1,2116413156,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,61576646,"201908","20190809"
800008,2322513256,2019-08-09 16:10:50,2019-08-09 19:00:00,86399,"20190809",32,98187653,"201908","20190809"
1,2355715294,2019-08-09 00:30:40,2019-08-09 06:20:00,951,"20190809",32,100498563,"201908","20190809"
800008,2362214709,2019-08-09 00:00:00,2019-08-10 00:00:00,86399,"20190809",32,100695340,"201908","20190809"
800085,3033118594,2019-08-09 20:28:16,2019-08-09 22:38:33,4253,"20190809",32,149169696,"201908","20190809"
